"V1","V2","V3","V4","V5","V6"
"2883","¶}µoª÷","8775","15,172,996,640","93.00%","1.09%"
"1301","¥x¶ì","1353","6,365,673,217","77.00%","2.66%"
"2002","¤¤¿û","1757","15,733,113,947","79.00%","2.29%"
"2311","¤é¤ë¥ú","9576","7,810,454,946","79.00%","1.87%"
"2317","ÂE®ü","2733","14,581,787,562","87.00%","7.64%"
"1402","»·ªF·s","3763","5,247,916,886","75.00%","0.90%"
"2892","²Ä¤@ª÷","8355","9,259,254,819","79.00%","0.96%"
"2880","µØ«nª÷","8355","9,327,970,100","75.00%","0.88%"
"2801","¹ü»È","8355","6,121,980,625","52.00%","0.41%"
"1216","²Î¤@","3577","5,463,476,316","85.00%","1.73%"
"1101","¥xªd","2353","3,692,175,869","87.00%","0.96%"
"1102","¨Èªd","2353","3,360,379,285","69.00%","0.63%"
"2382","¼s¹F","9572","3,832,574,432","69.00%","1.48%"
"2308","¥x¹F¹q","2737","2,417,141,304","84.00%","2.98%"
"1326","¥x¤Æ","1353","5,861,186,297","75.00%","2.19%"
"2886","¥üÂ×ª÷","8355","12,484,346,574","80.00%","1.75%"
"2891","¤¤«Hª÷","8355","15,257,281,448","97.00%","2.16%"
"2325","ª¿«~","9576","3,116,361,139","95.00%","1.16%"
"2105","¥¿·s","3357","3,241,414,671","57.00%","0.99%"
"2395","¬ãµØ","9572","628,272,477","54.00%","0.58%"
"2408","«n¬ì","9576","2,396,100,810","15.00%","0.20%"
"2412","¤¤µØ¹q","6535","7,757,446,545","49.00%","2.62%"
"2409","¤Í¹F","9572","9,435,154,398","92.00%","1.01%"
"2207","©M®õ¨®","5379","546,179,184","75.00%","1.39%"
"2301","¥úÄ_¬ì","2733","2,330,795,827","91.00%","0.58%"
"9904","Ä_¦¨","3765","2,941,665,922","90.00%","0.86%"
"2912","²Î¤@¶W","5337","1,039,622,256","54.00%","1.00%"
"2354","ÂE·Ç","2737","1,357,569,968","78.00%","0.59%"
"2474","¥i¦¨","2757","750,691,371","96.00%","1.47%"
"3045","¥xÆW¤j","6575","3,420,832,827","49.00%","1.29%"
"2454","Ápµo¬ì","9576","1,569,513,598","93.00%","4.82%"
"2881","´I¨¹ª÷","8575","10,233,603,995","71.00%","2.81%"
"2887","¥x·sª÷","8355","8,650,769,077","95.00%","0.77%"
"4904","»·¶Ç","6575","3,258,500,810","49.00%","0.87%"
"2885","¤¸¤jª÷","8777","10,266,543,526","96.00%","1.09%"
"3008","¤j¥ß¥ú","3745","134,140,197","75.00%","1.93%"
"2498","§»¹F¹q","9578","852,052,170","88.00%","0.77%"
"2884","¥É¤sª÷","8355","7,039,717,360","95.00%","0.92%"
"2890","¥ÃÂ×ª÷","8355","9,247,735,728","93.00%","0.77%"
"6505","¥x¶ì¤Æ","0533","9,486,083,651","20.00%","0.93%"
"5880","¦X®wª÷","8355","10,172,350,486","68.00%","0.78%"
"2227","¸Î¤é¨®","3353","300,000,000","8.00%","0.05%"
>>>>>>> c4189a44dde609ac348cbb89068558c632d1bf67
